"Label (Grouping)","Memphis, TN-MS-AR Metro Area!!Estimate","Memphis, TN-MS-AR Metro Area!!Margin of Error"
"Total:","1,317,156","±1,411"
"    Income in the past 12 months below poverty level:","228,040","±6,558"
"        Under 6 years","35,643","±1,757"
"        6 to 11 years","29,305","±1,616"
"        12 to 17 years","24,471","±1,419"
"        18 to 59 years","109,846","±3,707"
"        60 to 74 years","20,822","±1,164"
"        75 to 84 years","5,290","±544"
"        85 years and over","2,663","±498"
"    Income in the past 12 months at or above poverty level:","1,089,116","±6,486"
"        Under 6 years","70,745","±1,778"
"        6 to 11 years","79,414","±2,239"
"        12 to 17 years","89,018","±2,052"
"        18 to 59 years","613,123","±3,876"
"        60 to 74 years","176,528","±2,262"
"        75 to 84 years","44,312","±956"
"        85 years and over","15,976","±920"
