"Label (Grouping)","Memphis, TN-MS-AR Metro Area!!Estimate","Memphis, TN-MS-AR Metro Area!!Margin of Error"
"Total:","622,038","±1,559"
"    Income in the past 12 months below poverty level:","157,427","±6,084"
"        Under 6 years","26,827","±1,777"
"        6 to 11 years","21,621","±1,450"
"        12 to 17 years","17,653","±1,223"
"        18 to 59 years","72,536","±3,418"
"        60 to 74 years","14,641","±1,000"
"        75 to 84 years","3,166","±443"
"        85 years and over","983","±266"
"    Income in the past 12 months at or above poverty level:","464,611","±6,067"
"        Under 6 years","28,733","±1,570"
"        6 to 11 years","34,196","±1,859"
"        12 to 17 years","40,315","±1,645"
"        18 to 59 years","278,297","±3,436"
"        60 to 74 years","65,971","±1,607"
"        75 to 84 years","12,634","±652"
"        85 years and over","4,465","±546"
