"Label (Grouping)","Memphis, TN-MS-AR Metro Area!!Estimate","Memphis, TN-MS-AR Metro Area!!Margin of Error"
"Total:","565,294","±1,878"
"    Income in the past 12 months below poverty level:","45,651","±2,749"
"        Under 6 years","3,777","±724"
"        6 to 11 years","3,009","±534"
"        12 to 17 years","3,403","±543"
"        18 to 59 years","26,879","±1,854"
"        60 to 74 years","5,315","±522"
"        75 to 84 years","1,918","±311"
"        85 years and over","1,350","±371"
"    Income in the past 12 months at or above poverty level:","519,643","±3,186"
"        Under 6 years","30,301","±958"
"        6 to 11 years","32,980","±1,180"
"        12 to 17 years","37,275","±1,219"
"        18 to 59 years","276,300","±2,218"
"        60 to 74 years","101,625","±2,063"
"        75 to 84 years","30,269","±779"
"        85 years and over","10,893","±704"
