"Label (Grouping)","Memphis, TN-MS-AR Metro Area!!Estimate","Memphis, TN-MS-AR Metro Area!!Margin of Error"
"Total:","74,389","±329"
"    Income in the past 12 months below poverty level:","18,203","±1,661"
"        Under 6 years","4,090","±642"
"        6 to 11 years","3,817","±611"
"        12 to 17 years","2,657","±457"
"        18 to 59 years","7,278","±772"
"        60 to 74 years","205","±91"
"        75 to 84 years","115","±95"
"        85 years and over","41","±43"
"    Income in the past 12 months at or above poverty level:","56,186","±1,663"
"        Under 6 years","6,684","±726"
"        6 to 11 years","7,014","±669"
"        12 to 17 years","7,057","±636"
"        18 to 59 years","31,743","±879"
"        60 to 74 years","3,047","±310"
"        75 to 84 years","500","±121"
"        85 years and over","141","±95"
