ZIP,Percent_White
37010,82.1
37012,91.9
37013,40.1
37014,95.6
37015,89.5
37016,98.8
37018,90.3
37019,90.5
37020,79.4
37022,90.2
37023,82.1
37025,98.6
37026,93.4
37027,82.8
37028,99.1
37029,93.3
37030,91.1
37031,92.4
37032,95.4
37033,94.1
37034,94
37035,94.7
37036,92
37037,90
37040,59.3
37042,50.3
37043,79
37046,88.1
37047,84.4
37048,95.9
37049,91.5
37050,90.6
37051,90.7
37052,97.3
37055,84.6
37057,87.1
37058,91
37059,96.5
37060,95.3
37061,88.7
37062,90.1
37064,82.6
37066,75.5
37067,74.2
37069,89.6
37072,70.9
37073,91.2
37074,81.4
37075,84
37076,61.6
37078,100
37079,97.9
37080,89.8
37082,94.5
37083,92.9
37085,89
37086,49.8
37087,78.8
37090,89.5
37091,80.9
37095,95.6
37096,90.1
37097,95.7
37098,87.3
37101,96.6
37110,85.8
37115,39.7
37118,100
37122,84.7
37127,77.7
37128,71.2
37129,74.6
37130,62.1
37132,54.6
37134,86.7
37135,78
37137,92
37138,82.7
37140,49.2
37141,87.6
37142,90.8
37143,96.9
37144,92.4
37145,84.1
37146,90.4
37148,90.1
37149,96.7
37150,87.3
37151,85.7
37153,95.7
37160,69.1
37165,93.5
37166,84.5
37167,70
37171,100
37172,69.7
37174,82.4
37175,96.3
37178,97.9
37179,92.7
37180,98
37181,96
37183,94.2
37184,91
37185,88.5
37186,93.7
37187,97.9
37188,88.2
37189,46.1
37190,94.3
37191,83
37201,61.6
37203,62.9
37204,77.9
37205,86.6
37206,60.4
37207,25
37208,29.8
37209,62.6
37210,41
37211,52.7
37212,70.9
37213,30
37214,69.9
37215,84.1
37216,67.4
37217,40.6
37218,20.8
37219,98.9
37220,94.8
37221,81.3
37228,50.7
37240,57
37301,90.3
37302,87.2
37303,83.9
37305,63.2
37306,81
37307,90.4
37308,95.4
37309,98.1
37310,87.7
37311,77
37312,83.7
37313,92.4
37315,52.9
37317,93.5
37318,85.5
37321,86.1
37322,93.9
37323,91.8
37324,88.6
37325,93.7
37326,96.2
37327,93.1
37328,99.5
37329,96.2
37330,93.1
37331,89.5
37332,95.2
37333,100
37334,82.8
37335,97.4
37336,94.1
37337,99.2
37338,87.2
37339,91.1
37340,81
37341,83.3
37342,93
37343,84.8
37345,89.8
37347,87.5
37348,100
37350,98
37351,89.6
37352,93
37353,93
37354,93.3
37355,88
37356,83
37357,76.4
37359,85.1
37360,88.2
37361,89.4
37362,95.5
37363,81.5
37365,98
37366,93
37367,85.4
37369,79.7
37370,94.4
37373,98.1
37374,97.2
37375,86.1
37376,92.5
37377,94.4
37379,96.2
37380,88.6
37381,97.1
37385,90.8
37387,89.5
37388,88.2
37391,96.9
37394,78.3
37396,100
37397,95.4
37398,85.2
37402,34.8
37403,75.8
37404,35.2
37405,82.5
37406,19
37407,32.6
37408,68.4
37409,68.4
37410,7.5
37411,41.1
37412,73.3
37415,85.8
37416,48.1
37419,86.7
37421,63.9
37601,85.4
37604,80.2
37614,74
37615,93.6
37616,95.6
37617,95.9
37618,95.6
37620,92.1
37640,97.5
37641,95.8
37642,94.2
37643,93.9
37645,95.2
37650,93.2
37656,96.5
37657,100
37658,98.7
37659,94.8
37660,90.2
37663,96.7
37664,93.1
37665,97
37680,100
37681,96.9
37682,87.7
37683,91
37686,93.1
37687,96.8
37688,93.7
37690,97.8
37691,95.2
37692,90.6
37694,96.2
37701,75.1
37705,90.9
37708,95.5
37709,95
37710,99.4
37711,98.7
37713,93.7
37714,97.5
37715,99.9
37716,94.6
37719,100
37721,96
37722,94.9
37723,98.6
37724,96.8
37725,93.9
37726,94.8
37727,98.8
37729,99
37730,100
37731,100
37732,100
37733,100
37737,95
37738,81.9
37742,97.5
37743,94
37745,87.7
