"Label (Grouping)","Memphis city, Tennessee!!Estimate","Memphis city, Tennessee!!Margin of Error"
"Total:","635,644","±1,109"
"    Income in the past 12 months below poverty level:","156,564","±6,075"
"        Under 6 years","26,500","±1,754"
"        6 to 11 years","20,936","±1,431"
"        12 to 17 years","15,838","±1,210"
"        18 to 59 years","74,305","±3,182"
"        60 to 74 years","13,859","±931"
"        75 to 84 years","3,369","±503"
"        85 years and over","1,757","±354"
"    Income in the past 12 months at or above poverty level:","479,080","±6,227"
"        Under 6 years","30,136","±1,795"
"        6 to 11 years","32,067","±1,793"
"        12 to 17 years","34,290","±1,457"
"        18 to 59 years","277,338","±3,890"
"        60 to 74 years","77,729","±1,907"
"        75 to 84 years","19,208","±740"
"        85 years and over","8,312","±731"
