"Label (Grouping)","Memphis city, Tennessee!!Estimate","Memphis city, Tennessee!!Margin of Error"
"Total:","410,264","±3,185"
"    Income in the past 12 months below poverty level:","121,184","±5,457"
"        Under 6 years","21,919","±1,771"
"        6 to 11 years","16,565","±1,267"
"        12 to 17 years","12,953","±1,123"
"        18 to 59 years","55,200","±2,917"
"        60 to 74 years","11,229","±832"
"        75 to 84 years","2,494","±406"
"        85 years and over","824","±248"
"    Income in the past 12 months at or above poverty level:","289,080","±6,105"
"        Under 6 years","17,596","±1,465"
"        6 to 11 years","20,617","±1,667"
"        12 to 17 years","23,058","±1,457"
"        18 to 59 years","171,143","±3,579"
"        60 to 74 years","43,713","±1,432"
"        75 to 84 years","9,123","±598"
"        85 years and over","3,830","±502"
