"Label (Grouping)","Memphis city, Tennessee!!Estimate","Memphis city, Tennessee!!Margin of Error"
"Total:","11,285","±1,109"
"    Income in the past 12 months below poverty level:","1,932","±569"
"        Under 6 years","115","±127"
"        6 to 11 years","43","±45"
"        12 to 17 years","94","±87"
"        18 to 59 years","1,102","±362"
"        60 to 74 years","258","±127"
"        75 to 84 years","50","±45"
"        85 years and over","270","±140"
"    Income in the past 12 months at or above poverty level:","9,353","±1,120"
"        Under 6 years","528","±196"
"        6 to 11 years","661","±176"
"        12 to 17 years","478","±169"
"        18 to 59 years","6,077","±805"
"        60 to 74 years","1,313","±291"
"        75 to 84 years","256","±100"
"        85 years and over","40","±46"
