"Label (Grouping)","Memphis city, Tennessee!!Estimate","Memphis city, Tennessee!!Margin of Error"
"Total:","156,791","±2,946"
"    Income in the past 12 months below poverty level:","17,666","±1,449"
"        Under 6 years","926","±274"
"        6 to 11 years","950","±297"
"        12 to 17 years","689","±224"
"        18 to 59 years","11,661","±1,081"
"        60 to 74 years","2,130","±312"
"        75 to 84 years","674","±229"
"        85 years and over","636","±198"
"    Income in the past 12 months at or above poverty level:","139,125","±3,202"
"        Under 6 years","6,758","±642"
"        6 to 11 years","5,939","±637"
"        12 to 17 years","6,338","±615"
"        18 to 59 years","77,340","±2,211"
"        60 to 74 years","29,290","±1,581"
"        75 to 84 years","9,402","±670"
"        85 years and over","4,058","±477"
