"Label (Grouping)","Memphis city, Tennessee!!Estimate","Memphis city, Tennessee!!Margin of Error"
"Total:","46,872","±1,480"
"    Income in the past 12 months below poverty level:","13,722","±1,399"
"        Under 6 years","3,335","±648"
"        6 to 11 years","3,004","±520"
"        12 to 17 years","1,811","±355"
"        18 to 59 years","5,298","±606"
"        60 to 74 years","160","±86"
"        75 to 84 years","93","±91"
"        85 years and over","21","±32"
"    Income in the past 12 months at or above poverty level:","33,150","±1,700"
"        Under 6 years","4,238","±695"
"        6 to 11 years","4,191","±520"
"        12 to 17 years","3,972","±539"
"        18 to 59 years","18,979","±1,018"
"        60 to 74 years","1,463","±333"
"        75 to 84 years","251","±118"
"        85 years and over","56","±62"
