"Label (Grouping)","Shelby County, Tennessee!!Estimate","Shelby County, Tennessee!!Margin of Error"
"Total:","494,466","±1,243"
"    Income in the past 12 months below poverty level:","129,521","±5,876"
"        Under 6 years","22,684","±1,747"
"        6 to 11 years","17,721","±1,326"
"        12 to 17 years","14,430","±1,184"
"        18 to 59 years","59,346","±3,188"
"        60 to 74 years","11,791","±886"
"        75 to 84 years","2,712","±425"
"        85 years and over","837","±248"
"    Income in the past 12 months at or above poverty level:","364,945","±5,815"
"        Under 6 years","22,206","±1,443"
"        6 to 11 years","26,311","±1,831"
"        12 to 17 years","31,057","±1,433"
"        18 to 59 years","218,377","±3,083"
"        60 to 74 years","52,748","±1,523"
"        75 to 84 years","10,209","±597"
"        85 years and over","4,037","±514"
