"Label (Grouping)","Shelby County, Tennessee!!Estimate","Shelby County, Tennessee!!Margin of Error"
"Total:","25,187","±659"
"    Income in the past 12 months below poverty level:","2,524","±645"
"        Under 6 years","115","±127"
"        6 to 11 years","145","±105"
"        12 to 17 years","172","±104"
"        18 to 59 years","1,309","±395"
"        60 to 74 years","463","±186"
"        75 to 84 years","50","±45"
"        85 years and over","270","±140"
"    Income in the past 12 months at or above poverty level:","22,663","±828"
"        Under 6 years","1,623","±231"
"        6 to 11 years","1,803","±296"
"        12 to 17 years","1,967","±305"
"        18 to 59 years","14,431","±487"
"        60 to 74 years","2,338","±287"
"        75 to 84 years","411","±151"
"        85 years and over","90","±58"
