"Label (Grouping)","Shelby County, Tennessee!!Estimate","Shelby County, Tennessee!!Margin of Error"
"Total:","59,141","±304"
"    Income in the past 12 months below poverty level:","14,790","±1,509"
"        Under 6 years","3,550","±630"
"        6 to 11 years","3,226","±551"
"        12 to 17 years","2,028","±426"
"        18 to 59 years","5,681","±640"
"        60 to 74 years","166","±86"
"        75 to 84 years","98","±92"
"        85 years and over","41","±43"
"    Income in the past 12 months at or above poverty level:","44,351","±1,513"
"        Under 6 years","5,658","±676"
"        6 to 11 years","5,614","±624"
"        12 to 17 years","5,672","±583"
"        18 to 59 years","24,833","±751"
"        60 to 74 years","2,102","±255"
"        75 to 84 years","403","±111"
"        85 years and over","69","±65"
