"Label (Grouping)","Tennessee!!Estimate","Tennessee!!Margin of Error"
"Total:","6,603,468","±1,764"
"    Income in the past 12 months below poverty level:","965,213","±13,412"
"        Under 6 years","113,088","±3,345"
"        6 to 11 years","105,955","±3,113"
"        12 to 17 years","89,183","±2,670"
"        18 to 59 years","504,212","±7,689"
"        60 to 74 years","107,445","±2,659"
"        75 to 84 years","31,139","±1,470"
"        85 years and over","14,191","±949"
"    Income in the past 12 months at or above poverty level:","5,638,255","±13,719"
"        Under 6 years","363,568","±3,713"
"        6 to 11 years","385,575","±4,524"
"        12 to 17 years","422,481","±4,582"
"        18 to 59 years","3,110,912","±8,223"
"        60 to 74 years","976,741","±5,308"
"        75 to 84 years","282,877","±2,636"
"        85 years and over","96,101","±2,557"
