"Label (Grouping)","Tennessee!!Estimate","Tennessee!!Margin of Error"
"Total:","1,086,744","±3,142"
"    Income in the past 12 months below poverty level:","264,525","±7,005"
"        Under 6 years","40,129","±2,135"
"        6 to 11 years","36,724","±1,982"
"        12 to 17 years","28,486","±1,602"
"        18 to 59 years","126,957","±3,834"
"        60 to 74 years","24,667","±1,244"
"        75 to 84 years","5,474","±543"
"        85 years and over","2,088","±365"
"    Income in the past 12 months at or above poverty level:","822,219","±7,397"
"        Under 6 years","50,660","±2,150"
"        6 to 11 years","59,051","±2,446"
"        12 to 17 years","67,418","±2,290"
"        18 to 59 years","494,749","±4,225"
"        60 to 74 years","118,448","±2,592"
"        75 to 84 years","23,757","±897"
"        85 years and over","8,136","±821"
