"Label (Grouping)","Tennessee!!Estimate","Tennessee!!Margin of Error"
"Total:","4,858,780","±3,729"
"    Income in the past 12 months below poverty level:","565,325","±9,721"
"        Under 6 years","46,795","±1,995"
"        6 to 11 years","47,308","±2,121"
"        12 to 17 years","43,372","±1,786"
"        18 to 59 years","315,561","±5,865"
"        60 to 74 years","76,314","±2,278"
"        75 to 84 years","24,539","±1,163"
"        85 years and over","11,436","±936"
"    Income in the past 12 months at or above poverty level:","4,293,455","±11,046"
"        Under 6 years","253,272","±2,491"
"        6 to 11 years","266,409","±3,748"
"        12 to 17 years","299,252","±3,308"
"        18 to 59 years","2,319,652","±7,005"
"        60 to 74 years","819,113","±4,933"
"        75 to 84 years","250,576","±2,646"
"        85 years and over","85,181","±2,440"
