"Label (Grouping)","Tennessee!!Estimate","Tennessee!!Margin of Error"
"Total:","369,225","±668"
"    Income in the past 12 months below poverty level:","90,542","±4,226"
"        Under 6 years","19,435","±1,530"
"        6 to 11 years","15,700","±1,167"
"        12 to 17 years","12,660","±1,001"
"        18 to 59 years","39,620","±1,944"
"        60 to 74 years","2,499","±436"
"        75 to 84 years","475","±213"
"        85 years and over","153","±93"
"    Income in the past 12 months at or above poverty level:","278,683","±4,203"
"        Under 6 years","32,064","±1,593"
"        6 to 11 years","33,713","±1,558"
"        12 to 17 years","32,118","±1,275"
"        18 to 59 years","162,192","±2,207"
"        60 to 74 years","14,898","±923"
"        75 to 84 years","2,566","±347"
"        85 years and over","1,132","±302"
