"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","318,564,128","±12,307"
"    Income in the past 12 months below poverty level:","40,910,326","±258,486"
"        Under 6 years","4,375,879","±50,338"
"        6 to 11 years","4,328,350","±48,573"
"        12 to 17 years","3,894,470","±37,586"
"        18 to 59 years","21,415,071","±117,096"
"        60 to 74 years","4,723,698","±23,391"
"        75 to 84 years","1,449,096","±8,437"
"        85 years and over","723,762","±8,731"
"    Income in the past 12 months at or above poverty level:","277,653,802","±264,194"
"        Under 6 years","18,724,642","±58,639"
"        6 to 11 years","19,825,772","±46,397"
"        12 to 17 years","20,916,661","±45,569"
"        18 to 59 years","153,868,508","±118,454"
"        60 to 74 years","45,625,378","±35,747"
"        75 to 84 years","13,348,731","±21,994"
"        85 years and over","5,344,110","±19,946"
