"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","39,544,837","±35,624"
"    Income in the past 12 months below poverty level:","8,726,814","±50,030"
"        Under 6 years","1,117,904","±15,297"
"        6 to 11 years","1,103,742","±14,922"
"        12 to 17 years","948,227","±12,505"
"        18 to 59 years","4,322,256","±22,996"
"        60 to 74 years","928,600","±9,320"
"        75 to 84 years","219,751","±4,163"
"        85 years and over","86,334","±2,497"
"    Income in the past 12 months at or above poverty level:","30,818,023","±42,476"
"        Under 6 years","2,046,664","±14,653"
"        6 to 11 years","2,284,235","±13,468"
"        12 to 17 years","2,468,166","±12,827"
"        18 to 59 years","18,364,639","±23,464"
"        60 to 74 years","4,259,268","±12,978"
"        75 to 84 years","1,032,027","±6,894"
"        85 years and over","363,024","±5,214"
