"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","18,074,164","±21,212"
"    Income in the past 12 months below poverty level:","1,917,691","±22,341"
"        Under 6 years","128,296","±4,052"
"        6 to 11 years","125,019","±3,759"
"        12 to 17 years","134,742","±3,829"
"        18 to 59 years","1,150,812","±13,794"
"        60 to 74 years","237,772","±5,082"
"        75 to 84 years","95,879","±2,656"
"        85 years and over","45,171","±2,225"
"    Income in the past 12 months at or above poverty level:","16,156,473","±22,038"
"        Under 6 years","1,087,793","±7,274"
"        6 to 11 years","1,096,073","±6,095"
"        12 to 17 years","1,096,737","±7,104"
"        18 to 59 years","9,961,137","±15,360"
"        60 to 74 years","2,140,141","±7,705"
"        75 to 84 years","561,569","±4,331"
"        85 years and over","213,023","±3,243"
