"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","58,179,884","±9,597"
"    Income in the past 12 months below poverty level:","10,642,653","±79,719"
"        Under 6 years","1,534,770","±18,988"
"        6 to 11 years","1,574,479","±19,215"
"        12 to 17 years","1,377,769","±15,206"
"        18 to 59 years","5,081,976","±33,652"
"        60 to 74 years","744,149","±8,372"
"        75 to 84 years","230,290","±3,896"
"        85 years and over","99,220","±3,302"
"    Income in the past 12 months at or above poverty level:","47,537,231","±80,383"
"        Under 6 years","4,368,532","±20,996"
"        6 to 11 years","4,612,053","±18,944"
"        12 to 17 years","4,714,137","±20,330"
"        18 to 59 years","28,492,558","±34,506"
"        60 to 74 years","4,014,366","±13,031"
"        75 to 84 years","967,424","±6,473"
"        85 years and over","368,161","±5,120"
