"Label (Grouping)","ZCTA5 38002!!Estimate","ZCTA5 38002!!Margin of Error","ZCTA5 38002!!Percent","ZCTA5 38002!!Percent Margin of Error","ZCTA5 38004!!Estimate","ZCTA5 38004!!Margin of Error","ZCTA5 38004!!Percent","ZCTA5 38004!!Percent Margin of Error","ZCTA5 38011!!Estimate","ZCTA5 38011!!Margin of Error","ZCTA5 38011!!Percent","ZCTA5 38011!!Percent Margin of Error","ZCTA5 38016!!Estimate","ZCTA5 38016!!Margin of Error","ZCTA5 38016!!Percent","ZCTA5 38016!!Percent Margin of Error","ZCTA5 38017!!Estimate","ZCTA5 38017!!Margin of Error","ZCTA5 38017!!Percent","ZCTA5 38017!!Percent Margin of Error","ZCTA5 38018!!Estimate","ZCTA5 38018!!Margin of Error","ZCTA5 38018!!Percent","ZCTA5 38018!!Percent Margin of Error","ZCTA5 38028!!Estimate","ZCTA5 38028!!Margin of Error","ZCTA5 38028!!Percent","ZCTA5 38028!!Percent Margin of Error","ZCTA5 38029!!Estimate","ZCTA5 38029!!Margin of Error","ZCTA5 38029!!Percent","ZCTA5 38029!!Percent Margin of Error","ZCTA5 38053!!Estimate","ZCTA5 38053!!Margin of Error","ZCTA5 38053!!Percent","ZCTA5 38053!!Percent Margin of Error","ZCTA5 38054!!Estimate","ZCTA5 38054!!Margin of Error","ZCTA5 38054!!Percent","ZCTA5 38054!!Percent Margin of Error","ZCTA5 38103!!Estimate","ZCTA5 38103!!Margin of Error","ZCTA5 38103!!Percent","ZCTA5 38103!!Percent Margin of Error","ZCTA5 38104!!Estimate","ZCTA5 38104!!Margin of Error","ZCTA5 38104!!Percent","ZCTA5 38104!!Percent Margin of Error","ZCTA5 38105!!Estimate","ZCTA5 38105!!Margin of Error","ZCTA5 38105!!Percent","ZCTA5 38105!!Percent Margin of Error","ZCTA5 38106!!Estimate","ZCTA5 38106!!Margin of Error","ZCTA5 38106!!Percent","ZCTA5 38106!!Percent Margin of Error","ZCTA5 38107!!Estimate","ZCTA5 38107!!Margin of Error","ZCTA5 38107!!Percent","ZCTA5 38107!!Percent Margin of Error","ZCTA5 38108!!Estimate","ZCTA5 38108!!Margin of Error","ZCTA5 38108!!Percent","ZCTA5 38108!!Percent Margin of Error","ZCTA5 38109!!Estimate","ZCTA5 38109!!Margin of Error","ZCTA5 38109!!Percent","ZCTA5 38109!!Percent Margin of Error","ZCTA5 38111!!Estimate","ZCTA5 38111!!Margin of Error","ZCTA5 38111!!Percent","ZCTA5 38111!!Percent Margin of Error","ZCTA5 38112!!Estimate","ZCTA5 38112!!Margin of Error","ZCTA5 38112!!Percent","ZCTA5 38112!!Percent Margin of Error","ZCTA5 38114!!Estimate","ZCTA5 38114!!Margin of Error","ZCTA5 38114!!Percent","ZCTA5 38114!!Percent Margin of Error","ZCTA5 38115!!Estimate","ZCTA5 38115!!Margin of Error","ZCTA5 38115!!Percent","ZCTA5 38115!!Percent Margin of Error","ZCTA5 38116!!Estimate","ZCTA5 38116!!Margin of Error","ZCTA5 38116!!Percent","ZCTA5 38116!!Percent Margin of Error","ZCTA5 38117!!Estimate","ZCTA5 38117!!Margin of Error","ZCTA5 38117!!Percent","ZCTA5 38117!!Percent Margin of Error","ZCTA5 38118!!Estimate","ZCTA5 38118!!Margin of Error","ZCTA5 38118!!Percent","ZCTA5 38118!!Percent Margin of Error","ZCTA5 38119!!Estimate","ZCTA5 38119!!Margin of Error","ZCTA5 38119!!Percent","ZCTA5 38119!!Percent Margin of Error","ZCTA5 38120!!Estimate","ZCTA5 38120!!Margin of Error","ZCTA5 38120!!Percent","ZCTA5 38120!!Percent Margin of Error","ZCTA5 38122!!Estimate","ZCTA5 38122!!Margin of Error","ZCTA5 38122!!Percent","ZCTA5 38122!!Percent Margin of Error","ZCTA5 38125!!Estimate","ZCTA5 38125!!Margin of Error","ZCTA5 38125!!Percent","ZCTA5 38125!!Percent Margin of Error","ZCTA5 38126!!Estimate","ZCTA5 38126!!Margin of Error","ZCTA5 38126!!Percent","ZCTA5 38126!!Percent Margin of Error","ZCTA5 38127!!Estimate","ZCTA5 38127!!Margin of Error","ZCTA5 38127!!Percent","ZCTA5 38127!!Percent Margin of Error","ZCTA5 38128!!Estimate","ZCTA5 38128!!Margin of Error","ZCTA5 38128!!Percent","ZCTA5 38128!!Percent Margin of Error","ZCTA5 38131!!Estimate","ZCTA5 38131!!Margin of Error","ZCTA5 38131!!Percent","ZCTA5 38131!!Percent Margin of Error","ZCTA5 38132!!Estimate","ZCTA5 38132!!Margin of Error","ZCTA5 38132!!Percent","ZCTA5 38132!!Percent Margin of Error","ZCTA5 38133!!Estimate","ZCTA5 38133!!Margin of Error","ZCTA5 38133!!Percent","ZCTA5 38133!!Percent Margin of Error","ZCTA5 38134!!Estimate","ZCTA5 38134!!Margin of Error","ZCTA5 38134!!Percent","ZCTA5 38134!!Percent Margin of Error","ZCTA5 38135!!Estimate","ZCTA5 38135!!Margin of Error","ZCTA5 38135!!Percent","ZCTA5 38135!!Percent Margin of Error","ZCTA5 38138!!Estimate","ZCTA5 38138!!Margin of Error","ZCTA5 38138!!Percent","ZCTA5 38138!!Percent Margin of Error","ZCTA5 38139!!Estimate","ZCTA5 38139!!Margin of Error","ZCTA5 38139!!Percent","ZCTA5 38139!!Percent Margin of Error","ZCTA5 38141!!Estimate","ZCTA5 38141!!Margin of Error","ZCTA5 38141!!Percent","ZCTA5 38141!!Percent Margin of Error","ZCTA5 38152!!Estimate","ZCTA5 38152!!Margin of Error","ZCTA5 38152!!Percent","ZCTA5 38152!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","40,070","±1,297","40,070","(X)","11,094","±381","11,094","(X)","9,429","±889","9,429","(X)","45,424","±2,048","45,424","(X)","55,884","±1,137","55,884","(X)","37,269","±2,890","37,269","(X)","7,478","±1,790","7,478","(X)","27","±40","27","(X)","25,816","±1,227","25,816","(X)","289","±96","289","(X)","14,713","±1,153","14,713","(X)","23,812","±1,485","23,812","(X)","5,638","±478","5,638","(X)","24,256","±1,865","24,256","(X)","15,477","±1,072","15,477","(X)","17,258","±2,279","17,258","(X)","44,846","±2,828","44,846","(X)","42,146","±2,584","42,146","(X)","16,046","±1,270","16,046","(X)","23,940","±2,099","23,940","(X)","38,817","±2,033","38,817","(X)","42,057","±2,524","42,057","(X)","27,162","±1,911","27,162","(X)","40,156","±3,180","40,156","(X)","24,818","±2,125","24,818","(X)","15,485","±1,229","15,485","(X)","23,955","±1,539","23,955","(X)","39,315","±2,255","39,315","(X)","5,844","±669","5,844","(X)","43,240","±2,628","43,240","(X)","46,158","±2,972","46,158","(X)","0","±13","0","(X)","0","±13","0","(X)","22,155","±1,512","22,155","(X)","45,184","±2,332","45,184","(X)","29,719","±2,372","29,719","(X)","24,143","±980","24,143","(X)","15,986","±1,010","15,986","(X)","23,443","±2,263","23,443","(X)","870","±291","870","(X)"
"        Male","20,396","±866","50.9%","±1.5","5,737","±374","51.7%","±2.6","4,679","±550","49.6%","±2.6","20,158","±1,265","44.4%","±2.0","27,357","±818","49.0%","±1.2","17,603","±1,798","47.2%","±2.5","4,006","±943","53.6%","±2.9","14","±20","51.9%","±7.4","12,628","±777","48.9%","±1.9","242","±73","83.7%","±10.1","8,785","±967","59.7%","±3.3","11,754","±954","49.4%","±2.6","2,488","±268","44.1%","±4.5","12,178","±1,138","50.2%","±2.6","7,348","±709","47.5%","±2.8","8,252","±1,122","47.8%","±3.0","20,977","±1,585","46.8%","±2.0","19,671","±1,533","46.7%","±2.1","7,450","±709","46.4%","±2.6","11,215","±1,262","46.8%","±2.5","17,929","±1,341","46.2%","±2.1","19,637","±1,388","46.7%","±1.6","13,040","±1,150","48.0%","±2.1","19,193","±1,628","47.8%","±1.9","11,719","±1,331","47.2%","±2.9","7,378","±720","47.6%","±2.3","11,686","±958","48.8%","±2.4","18,162","±1,329","46.2%","±2.3","2,205","±328","37.7%","±4.6","19,159","±1,209","44.3%","±1.9","20,549","±1,647","44.5%","±1.9","0","±13","-","**","0","±13","-","**","10,526","±804","47.5%","±2.6","22,495","±1,314","49.8%","±2.4","14,883","±1,613","50.1%","±2.5","11,123","±730","46.1%","±2.1","8,322","±688","52.1%","±2.4","10,048","±1,061","42.9%","±3.6","288","±144","33.1%","±12.1"
"        Female","19,674","±899","49.1%","±1.5","5,357","±317","48.3%","±2.6","4,750","±462","50.4%","±2.6","25,266","±1,492","55.6%","±2.0","28,527","±922","51.0%","±1.2","19,666","±1,610","52.8%","±2.5","3,472","±896","46.4%","±2.9","13","±20","48.1%","±7.4","13,188","±800","51.1%","±1.9","47","±39","16.3%","±10.1","5,928","±545","40.3%","±3.3","12,058","±969","50.6%","±2.6","3,150","±423","55.9%","±4.5","12,078","±1,130","49.8%","±2.6","8,129","±657","52.5%","±2.8","9,006","±1,372","52.2%","±3.0","23,869","±1,784","53.2%","±2.0","22,475","±1,606","53.3%","±2.1","8,596","±817","53.6%","±2.6","12,725","±1,144","53.2%","±2.5","20,888","±1,267","53.8%","±2.1","22,420","±1,487","53.3%","±1.6","14,122","±1,071","52.0%","±2.1","20,963","±1,909","52.2%","±1.9","13,099","±1,217","52.8%","±2.9","8,107","±703","52.4%","±2.3","12,269","±975","51.2%","±2.4","21,153","±1,561","53.8%","±2.3","3,639","±541","62.3%","±4.6","24,081","±1,860","55.7%","±1.9","25,609","±1,795","55.5%","±1.9","0","±13","-","**","0","±13","-","**","11,629","±1,101","52.5%","±2.6","22,689","±1,851","50.2%","±2.4","14,836","±1,147","49.9%","±2.5","13,020","±653","53.9%","±2.1","7,664","±572","47.9%","±2.4","13,395","±1,744","57.1%","±3.6","582","±216","66.9%","±12.1"
"        Sex ratio (males per 100 females)","103.7","±6.2","(X)","(X)","107.1","±11.2","(X)","(X)","98.5","±10.4","(X)","(X)","79.8","±6.5","(X)","(X)","95.9","±4.5","(X)","(X)","89.5","±8.8","(X)","(X)","115.4","±13.7","(X)","(X)","107.7","±31.7","(X)","(X)","95.8","±7.3","(X)","(X)","514.9","±467.0","(X)","(X)","148.2","±20.3","(X)","(X)","97.5","±10.0","(X)","(X)","79.0","±14.6","(X)","(X)","100.8","±10.7","(X)","(X)","90.4","±10.0","(X)","(X)","91.6","±10.8","(X)","(X)","87.9","±7.2","(X)","(X)","87.5","±7.5","(X)","(X)","86.7","±9.1","(X)","(X)","88.1","±8.8","(X)","(X)","85.8","±7.3","(X)","(X)","87.6","±5.8","(X)","(X)","92.3","±7.8","(X)","(X)","91.6","±7.2","(X)","(X)","89.5","±10.3","(X)","(X)","91.0","±8.5","(X)","(X)","95.2","±9.3","(X)","(X)","85.9","±7.9","(X)","(X)","60.6","±11.8","(X)","(X)","79.6","±6.0","(X)","(X)","80.2","±6.1","(X)","(X)","-","**","(X)","(X)","-","**","(X)","(X)","90.5","±9.6","(X)","(X)","99.1","±9.7","(X)","(X)","100.3","±10.0","(X)","(X)","85.4","±7.1","(X)","(X)","108.6","±10.3","(X)","(X)","75.0","±11.1","(X)","(X)","49.5","±28.0","(X)","(X)"
"        Under 5 years","2,862","±431","7.1%","±1.0","839","±174","7.6%","±1.5","527","±173","5.6%","±1.6","2,778","±746","6.1%","±1.5","3,306","±521","5.9%","±0.9","2,299","±542","6.2%","±1.3","167","±110","2.2%","±1.6","0","±13","0.0%","±63.3","1,467","±296","5.7%","±1.1","4","±6","1.4%","±2.2","361","±211","2.5%","±1.3","930","±235","3.9%","±0.9","319","±165","5.7%","±2.8","1,569","±430","6.5%","±1.6","903","±258","5.8%","±1.5","1,987","±620","11.5%","±3.0","2,730","±654","6.1%","±1.4","2,603","±450","6.2%","±1.0","1,028","±309","6.4%","±1.8","1,945","±620","8.1%","±2.2","4,067","±626","10.5%","±1.4","3,060","±727","7.3%","±1.5","1,891","±435","7.0%","±1.5","4,479","±929","11.2%","±1.7","1,616","±553","6.5%","±2.0","811","±240","5.2%","±1.5","2,278","±518","9.5%","±2.0","2,634","±621","6.7%","±1.5","503","±122","8.6%","±2.1","4,591","±937","10.6%","±1.9","3,551","±640","7.7%","±1.2","0","±13","-","**","0","±13","-","**","1,641","±460","7.4%","±1.8","2,621","±554","5.8%","±1.2","1,450","±359","4.9%","±1.1","1,305","±302","5.4%","±1.2","925","±344","5.8%","±2.0","1,517","±567","6.5%","±2.2","0","±13","0.0%","±4.5"
"        5 to 9 years","2,624","±406","6.5%","±0.9","954","±238","8.6%","±2.1","586","±174","6.2%","±1.9","2,976","±576","6.6%","±1.3","3,296","±388","5.9%","±0.7","2,055","±458","5.5%","±1.2","308","±142","4.1%","±1.9","0","±13","0.0%","±63.3","1,083","±219","4.2%","±0.8","21","±24","7.3%","±7.0","214","±146","1.5%","±1.0","489","±129","2.1%","±0.5","264","±133","4.7%","±2.3","1,821","±432","7.5%","±1.5","921","±269","6.0%","±1.6","1,248","±363","7.2%","±1.6","2,578","±679","5.7%","±1.4","2,663","±500","6.3%","±1.0","813","±292","5.1%","±1.7","887","±265","3.7%","±1.0","2,585","±354","6.7%","±0.9","3,269","±505","7.8%","±1.0","1,805","±694","6.6%","±2.3","4,134","±705","10.3%","±1.3","1,203","±389","4.8%","±1.5","706","±251","4.6%","±1.5","1,714","±358","7.2%","±1.4","2,348","±662","6.0%","±1.6","430","±134","7.4%","±2.2","4,634","±645","10.7%","±1.2","4,809","±966","10.4%","±1.9","0","±13","-","**","0","±13","-","**","1,779","±529","8.0%","±2.2","2,894","±478","6.4%","±1.0","1,497","±408","5.0%","±1.3","1,679","±375","7.0%","±1.5","1,249","±318","7.8%","±1.8","1,778","±516","7.6%","±1.9","0","±13","0.0%","±4.5"
"        10 to 14 years","4,053","±413","10.1%","±1.0","818","±209","7.4%","±1.9","627","±182","6.6%","±1.8","2,591","±466","5.7%","±1.0","5,034","±812","9.0%","±1.4","3,130","±920","8.4%","±2.0","389","±166","5.2%","±2.2","0","±13","0.0%","±63.3","1,856","±383","7.2%","±1.4","0","±13","0.0%","±12.9","302","±241","2.1%","±1.6","744","±190","3.1%","±0.8","202","±140","3.6%","±2.4","1,565","±377","6.5%","±1.5","885","±239","5.7%","±1.4","1,279","±441","7.4%","±2.4","3,079","±674","6.9%","±1.4","2,286","±546","5.4%","±1.1","889","±339","5.5%","±1.9","1,482","±351","6.2%","±1.3","2,633","±443","6.8%","±1.1","3,168","±670","7.5%","±1.4","1,223","±241","4.5%","±0.9","3,565","±777","8.9%","±1.6","1,944","±385","7.8%","±1.6","885","±238","5.7%","±1.5","2,276","±505","9.5%","±1.8","2,715","±583","6.9%","±1.3","535","±138","9.2%","±2.3","4,091","±626","9.5%","±1.3","3,610","±575","7.8%","±1.2","0","±13","-","**","0","±13","-","**","1,807","±489","8.2%","±2.0","3,475","±631","7.7%","±1.3","1,888","±431","6.4%","±1.2","1,567","±265","6.5%","±1.0","1,541","±407","9.6%","±2.5","2,298","±630","9.8%","±2.1","0","±13","0.0%","±4.5"
"        15 to 19 years","3,153","±390","7.9%","±1.0","818","±224","7.4%","±2.0","702","±189","7.4%","±1.7","2,956","±605","6.5%","±1.2","4,061","±589","7.3%","±1.0","2,780","±833","7.5%","±1.9","598","±513","8.0%","±5.3","0","±13","0.0%","±63.3","2,056","±485","8.0%","±1.9","34","±36","11.8%","±11.9","373","±159","2.5%","±1.1","969","±215","4.1%","±0.9","140","±73","2.5%","±1.3","1,367","±297","5.6%","±1.1","821","±232","5.3%","±1.4","1,044","±322","6.0%","±1.6","2,796","±521","6.2%","±1.0","2,666","±612","6.3%","±1.3","1,405","±290","8.8%","±1.7","1,402","±296","5.9%","±1.1","2,148","±407","5.5%","±1.0","2,945","±551","7.0%","±1.2","1,268","±300","4.7%","±1.1","2,747","±463","6.8%","±1.1","1,021","±318","4.1%","±1.3","1,076","±318","6.9%","±1.9","1,269","±297","5.3%","±1.3","2,777","±519","7.1%","±1.1","643","±188","11.0%","±3.0","2,971","±560","6.9%","±1.2","3,467","±641","7.5%","±1.2","0","±13","-","**","0","±13","-","**","1,437","±395","6.5%","±1.7","2,974","±540","6.6%","±1.1","1,776","±452","6.0%","±1.4","1,535","±412","6.4%","±1.6","953","±207","6.0%","±1.3","1,826","±589","7.8%","±2.2","513","±185","59.0%","±8.5"
"        20 to 24 years","1,920","±382","4.8%","±0.9","339","±144","3.1%","±1.3","565","±187","6.0%","±1.9","3,577","±774","7.9%","±1.7","2,107","±391","3.8%","±0.7","1,962","±478","5.3%","±1.3","438","±296","5.9%","±3.0","0","±13","0.0%","±63.3","1,023","±253","4.0%","±0.9","111","±53","38.4%","±19.8","1,903","±350","12.9%","±2.3","2,067","±473","8.7%","±1.8","527","±229","9.3%","±3.8","1,518","±325","6.3%","±1.3","1,063","±279","6.9%","±1.8","1,128","±392","6.5%","±2.1","2,513","±534","5.6%","±1.2","4,529","±738","10.7%","±1.6","1,496","±268","9.3%","±1.6","2,129","±590","8.9%","±2.2","3,978","±569","10.2%","±1.3","2,923","±617","7.0%","±1.4","1,396","±364","5.1%","±1.3","2,922","±526","7.3%","±1.2","1,790","±571","7.2%","±2.3","932","±274","6.0%","±1.7","1,548","±506","6.5%","±2.0","2,883","±562","7.3%","±1.4","656","±223","11.2%","±3.5","2,909","±518","6.7%","±1.1","3,316","±726","7.2%","±1.5","0","±13","-","**","0","±13","-","**","1,017","±317","4.6%","±1.5","3,587","±724","7.9%","±1.5","1,368","±395","4.6%","±1.3","688","±228","2.8%","±0.9","333","±146","2.1%","±0.9","1,611","±396","6.9%","±1.7","348","±139","40.0%","±8.4"
