"Label (Grouping)","Anderson County, Tennessee!!Total!!Estimate","Anderson County, Tennessee!!Total!!Margin of Error","Anderson County, Tennessee!!Below poverty level!!Estimate","Anderson County, Tennessee!!Below poverty level!!Margin of Error","Anderson County, Tennessee!!Percent below poverty level!!Estimate","Anderson County, Tennessee!!Percent below poverty level!!Margin of Error","Blount County, Tennessee!!Total!!Estimate","Blount County, Tennessee!!Total!!Margin of Error","Blount County, Tennessee!!Below poverty level!!Estimate","Blount County, Tennessee!!Below poverty level!!Margin of Error","Blount County, Tennessee!!Percent below poverty level!!Estimate","Blount County, Tennessee!!Percent below poverty level!!Margin of Error","Bradley County, Tennessee!!Total!!Estimate","Bradley County, Tennessee!!Total!!Margin of Error","Bradley County, Tennessee!!Below poverty level!!Estimate","Bradley County, Tennessee!!Below poverty level!!Margin of Error","Bradley County, Tennessee!!Percent below poverty level!!Estimate","Bradley County, Tennessee!!Percent below poverty level!!Margin of Error","Davidson County, Tennessee!!Total!!Estimate","Davidson County, Tennessee!!Total!!Margin of Error","Davidson County, Tennessee!!Below poverty level!!Estimate","Davidson County, Tennessee!!Below poverty level!!Margin of Error","Davidson County, Tennessee!!Percent below poverty level!!Estimate","Davidson County, Tennessee!!Percent below poverty level!!Margin of Error","Greene County, Tennessee!!Total!!Estimate","Greene County, Tennessee!!Total!!Margin of Error","Greene County, Tennessee!!Below poverty level!!Estimate","Greene County, Tennessee!!Below poverty level!!Margin of Error","Greene County, Tennessee!!Percent below poverty level!!Estimate","Greene County, Tennessee!!Percent below poverty level!!Margin of Error","Hamilton County, Tennessee!!Total!!Estimate","Hamilton County, Tennessee!!Total!!Margin of Error","Hamilton County, Tennessee!!Below poverty level!!Estimate","Hamilton County, Tennessee!!Below poverty level!!Margin of Error","Hamilton County, Tennessee!!Percent below poverty level!!Estimate","Hamilton County, Tennessee!!Percent below poverty level!!Margin of Error","Knox County, Tennessee!!Total!!Estimate","Knox County, Tennessee!!Total!!Margin of Error","Knox County, Tennessee!!Below poverty level!!Estimate","Knox County, Tennessee!!Below poverty level!!Margin of Error","Knox County, Tennessee!!Percent below poverty level!!Estimate","Knox County, Tennessee!!Percent below poverty level!!Margin of Error","Madison County, Tennessee!!Total!!Estimate","Madison County, Tennessee!!Total!!Margin of Error","Madison County, Tennessee!!Below poverty level!!Estimate","Madison County, Tennessee!!Below poverty level!!Margin of Error","Madison County, Tennessee!!Percent below poverty level!!Estimate","Madison County, Tennessee!!Percent below poverty level!!Margin of Error","Maury County, Tennessee!!Total!!Estimate","Maury County, Tennessee!!Total!!Margin of Error","Maury County, Tennessee!!Below poverty level!!Estimate","Maury County, Tennessee!!Below poverty level!!Margin of Error","Maury County, Tennessee!!Percent below poverty level!!Estimate","Maury County, Tennessee!!Percent below poverty level!!Margin of Error","Montgomery County, Tennessee!!Total!!Estimate","Montgomery County, Tennessee!!Total!!Margin of Error","Montgomery County, Tennessee!!Below poverty level!!Estimate","Montgomery County, Tennessee!!Below poverty level!!Margin of Error","Montgomery County, Tennessee!!Percent below poverty level!!Estimate","Montgomery County, Tennessee!!Percent below poverty level!!Margin of Error","Putnam County, Tennessee!!Total!!Estimate","Putnam County, Tennessee!!Total!!Margin of Error","Putnam County, Tennessee!!Below poverty level!!Estimate","Putnam County, Tennessee!!Below poverty level!!Margin of Error","Putnam County, Tennessee!!Percent below poverty level!!Estimate","Putnam County, Tennessee!!Percent below poverty level!!Margin of Error","Robertson County, Tennessee!!Total!!Estimate","Robertson County, Tennessee!!Total!!Margin of Error","Robertson County, Tennessee!!Below poverty level!!Estimate","Robertson County, Tennessee!!Below poverty level!!Margin of Error","Robertson County, Tennessee!!Percent below poverty level!!Estimate","Robertson County, Tennessee!!Percent below poverty level!!Margin of Error","Rutherford County, Tennessee!!Total!!Estimate","Rutherford County, Tennessee!!Total!!Margin of Error","Rutherford County, Tennessee!!Below poverty level!!Estimate","Rutherford County, Tennessee!!Below poverty level!!Margin of Error","Rutherford County, Tennessee!!Percent below poverty level!!Estimate","Rutherford County, Tennessee!!Percent below poverty level!!Margin of Error","Sevier County, Tennessee!!Total!!Estimate","Sevier County, Tennessee!!Total!!Margin of Error","Sevier County, Tennessee!!Below poverty level!!Estimate","Sevier County, Tennessee!!Below poverty level!!Margin of Error","Sevier County, Tennessee!!Percent below poverty level!!Estimate","Sevier County, Tennessee!!Percent below poverty level!!Margin of Error","Shelby County, Tennessee!!Total!!Estimate","Shelby County, Tennessee!!Total!!Margin of Error","Shelby County, Tennessee!!Below poverty level!!Estimate","Shelby County, Tennessee!!Below poverty level!!Margin of Error","Shelby County, Tennessee!!Percent below poverty level!!Estimate","Shelby County, Tennessee!!Percent below poverty level!!Margin of Error","Sullivan County, Tennessee!!Total!!Estimate","Sullivan County, Tennessee!!Total!!Margin of Error","Sullivan County, Tennessee!!Below poverty level!!Estimate","Sullivan County, Tennessee!!Below poverty level!!Margin of Error","Sullivan County, Tennessee!!Percent below poverty level!!Estimate","Sullivan County, Tennessee!!Percent below poverty level!!Margin of Error","Sumner County, Tennessee!!Total!!Estimate","Sumner County, Tennessee!!Total!!Margin of Error","Sumner County, Tennessee!!Below poverty level!!Estimate","Sumner County, Tennessee!!Below poverty level!!Margin of Error","Sumner County, Tennessee!!Percent below poverty level!!Estimate","Sumner County, Tennessee!!Percent below poverty level!!Margin of Error","Washington County, Tennessee!!Total!!Estimate","Washington County, Tennessee!!Total!!Margin of Error","Washington County, Tennessee!!Below poverty level!!Estimate","Washington County, Tennessee!!Below poverty level!!Margin of Error","Washington County, Tennessee!!Percent below poverty level!!Estimate","Washington County, Tennessee!!Percent below poverty level!!Margin of Error","Williamson County, Tennessee!!Total!!Estimate","Williamson County, Tennessee!!Total!!Margin of Error","Williamson County, Tennessee!!Below poverty level!!Estimate","Williamson County, Tennessee!!Below poverty level!!Margin of Error","Williamson County, Tennessee!!Percent below poverty level!!Estimate","Williamson County, Tennessee!!Percent below poverty level!!Margin of Error","Wilson County, Tennessee!!Total!!Estimate","Wilson County, Tennessee!!Total!!Margin of Error","Wilson County, Tennessee!!Below poverty level!!Estimate","Wilson County, Tennessee!!Below poverty level!!Margin of Error","Wilson County, Tennessee!!Percent below poverty level!!Estimate","Wilson County, Tennessee!!Percent below poverty level!!Margin of Error"
"Population for whom poverty status is determined","75,965","±1,061","11,371","±2,475","15.0%","±3.2","135,715","±1,170","11,953","±2,757","8.8%","±2.0","106,861","±1,279","10,299","±2,928","9.6%","±2.7","682,243","±3,212","102,601","±8,450","15.0%","±1.2","68,465","±814","6,508","±1,753","9.5%","±2.5","358,746","±2,533","44,949","±5,968","12.5%","±1.7","474,327","±2,379","57,309","±5,861","12.1%","±1.2","94,847","±1,135","16,471","±2,767","17.4%","±2.9","103,377","±1,013","10,694","±3,007","10.3%","±2.9","223,997","±1,430","25,075","±6,068","11.2%","±2.7","77,649","±820","9,560","±2,669","12.3%","±3.4","73,449","±852","8,228","±2,575","11.2%","±3.5","346,049","±1,701","29,652","±5,776","8.6%","±1.7","97,691","±1,170","14,547","±3,826","14.9%","±3.9","908,687","±5,481","162,280","±13,743","17.9%","±1.5","157,230","±805","28,111","±3,817","17.9%","±2.4","198,956","±978","16,600","±3,646","8.3%","±1.8","129,239","±2,272","18,935","±3,203","14.7%","±2.5","254,338","±1,116","8,947","±2,551","3.5%","±1.0","149,101","±1,462","11,833","±3,428","7.9%","±2.3"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 18 years","15,929","±348","2,835","±1,224","17.8%","±7.7","27,051","±670","3,369","±1,483","12.5%","±5.5","23,418","±407","2,418","±1,088","10.3%","±4.6","138,838","±1,671","31,103","±4,374","22.4%","±3.1","13,030","±375","1,107","±880","8.5%","±6.7","75,610","±1,160","12,887","±3,122","17.0%","±4.1","98,759","±1,488","11,248","±2,959","11.4%","±3.0","21,658","±586","5,789","±1,408","26.7%","±6.4","23,854","±718","4,824","±2,106","20.2%","±8.9","61,570","±339","8,696","±3,415","14.1%","±5.6","16,041","±521","2,467","±1,412","15.4%","±8.7","17,496","±207","1,997","±922","11.4%","±5.3","84,309","±1,355","8,861","±3,097","10.5%","±3.7","19,191","±1,117","3,729","±1,612","19.4%","±8.3","228,446","±1,561","55,019","±8,407","24.1%","±3.6","29,886","±329","9,009","±2,018","30.1%","±6.8","46,408","±360","4,118","±1,503","8.9%","±3.3","24,736","±613","4,864","±1,762","19.7%","±7.0","65,939","±1,087","2,319","±1,263","3.5%","±1.9","33,836","±982","2,292","±1,158","6.8%","±3.4"
"            Under 5 years","3,900","±363","279","±286","7.2%","±7.3","6,585","±449","819","±493","12.4%","±7.7","5,544","±677","884","±601","15.9%","±9.8","43,319","±945","8,800","±1,954","20.3%","±4.5","3,211","±275","239","±235","7.4%","±7.4","20,943","±195","3,190","±1,495","15.2%","±7.1","25,404","±586","3,173","±1,103","12.5%","±4.4","5,900","±435","1,487","±654","25.2%","±11.1","6,445","±1,015","1,736","±1,164","26.9%","±15.2","17,837","±294","3,016","±1,734","16.9%","±9.7","4,065","±595","261","±216","6.4%","±5.2","4,326","±558","406","±238","9.4%","±5.6","21,814","±466","2,057","±1,197","9.4%","±5.5","4,544","±535","885","±660","19.5%","±14.1","61,014","±878","15,628","±3,846","25.6%","±6.2","7,100","±368","2,323","±919","32.7%","±13.0","10,693","±796","1,209","±687","11.3%","±6.1","5,641","±807","1,356","±778","24.0%","±13.4","13,212","±637","0","±224","0.0%","±1.6","7,998","±438","547","±474","6.8%","±5.8"
"            5 to 17 years","12,029","±358","2,556","±1,118","21.2%","±9.4","20,466","±614","2,550","±1,368","12.5%","±6.7","17,874","±627","1,534","±733","8.6%","±4.1","95,519","±1,163","22,303","±3,315","23.3%","±3.4","9,819","±304","868","±823","8.8%","±8.4","54,667","±1,151","9,697","±2,271","17.7%","±4.2","73,355","±1,159","8,075","±2,199","11.0%","±3.0","15,758","±403","4,302","±1,085","27.3%","±6.8","17,409","±1,208","3,088","±1,688","17.7%","±9.4","43,733","±414","5,680","±2,342","13.0%","±5.4","11,976","±755","2,206","±1,336","18.4%","±11.0","13,170","±608","1,591","±869","12.1%","±6.6","62,495","±1,555","6,804","±2,468","10.9%","±4.0","14,647","±904","2,844","±1,179","19.4%","±8.1","167,432","±1,090","39,391","±6,099","23.5%","±3.6","22,786","±354","6,686","±1,578","29.3%","±6.9","35,715","±880","2,909","±1,111","8.1%","±3.2","19,095","±551","3,508","±1,240","18.4%","±6.5","52,727","±1,200","2,319","±1,263","4.4%","±2.4","25,838","±1,031","1,745","±1,006","6.8%","±3.9"
"            Related children of householder under 18 years","15,697","±519","2,603","±1,231","16.6%","±7.8","26,966","±677","3,284","±1,468","12.2%","±5.5","23,121","±512","2,121","±1,107","9.2%","±4.7","138,307","±1,749","30,683","±4,425","22.2%","±3.2","13,030","±375","1,107","±880","8.5%","±6.7","75,487","±1,162","12,764","±3,129","16.9%","±4.1","98,386","±1,625","10,875","±2,939","11.1%","±2.9","21,519","±698","5,650","±1,416","26.3%","±6.5","23,768","±837","4,738","±2,101","19.9%","±8.8","60,875","±688","8,246","±3,440","13.5%","±5.6","16,041","±521","2,467","±1,412","15.4%","±8.7","17,496","±207","1,997","±922","11.4%","±5.3","84,069","±1,499","8,621","±3,073","10.3%","±3.6","19,089","±1,132","3,627","±1,636","19.0%","±8.4","227,811","±1,531","54,384","±8,366","23.9%","±3.6","29,652","±443","8,775","±2,035","29.6%","±6.9","46,408","±360","4,118","±1,503","8.9%","±3.3","24,561","±636","4,689","±1,781","19.1%","±7.2","65,939","±1,087","2,319","±1,263","3.5%","±1.9","33,774","±998","2,230","±1,148","6.6%","±3.4"
"        18 to 64 years","44,437","±1,275","6,781","±1,504","15.3%","±3.3","80,291","±1,363","6,945","±1,735","8.6%","±2.1","64,749","±1,246","6,216","±2,055","9.6%","±3.1","452,415","±2,413","62,364","±5,070","13.8%","±1.1","39,985","±860","3,882","±1,216","9.7%","±3.0","217,884","±2,055","25,407","±3,961","11.7%","±1.8","298,023","±2,100","39,519","±4,215","13.3%","±1.4","56,358","±916","8,673","±1,664","15.4%","±3.0","62,441","±1,068","5,124","±1,487","8.2%","±2.4","140,894","±1,656","14,563","±3,188","10.3%","±2.3","47,977","±1,021","5,201","±1,424","10.8%","±2.9","44,500","±899","4,678","±1,499","10.5%","±3.3","223,000","±1,129","18,557","±3,841","8.3%","±1.7","58,698","±686","9,230","±2,316","15.7%","±4.0","548,105","±4,806","88,016","±7,555","16.1%","±1.4","92,304","±805","15,581","±2,487","16.9%","±2.7","120,005","±1,151","9,629","±2,271","8.0%","±1.9","79,786","±2,358","12,038","±2,051","15.1%","±2.5","152,162","±908","5,495","±1,557","3.6%","±1.0","91,170","±1,052","7,705","±2,514","8.5%","±2.7"
"            18 to 34 years","15,168","±823","2,226","±833","14.7%","±5.4","26,354","±1,319","2,349","±842","8.9%","±3.2","22,584","±975","2,285","±1,229","10.1%","±5.4","195,271","±2,098","33,073","±3,346","16.9%","±1.7","11,888","±706","1,545","±755","13.0%","±6.2","77,386","±2,100","10,994","±2,395","14.2%","±3.1","116,908","±2,004","22,996","±3,116","19.7%","±2.6","19,887","±791","3,156","±1,017","15.9%","±5.1","21,255","±1,052","2,771","±1,221","13.0%","±5.6","61,163","±1,627","7,493","±2,236","12.3%","±3.6","19,374","±955","2,621","±922","13.5%","±4.6","14,974","±875","2,119","±924","14.2%","±6.2","88,552","±1,477","10,971","±2,709","12.4%","±3.1","20,036","±847","3,728","±1,247","18.6%","±6.1","212,203","±2,679","44,733","±4,874","21.1%","±2.3","31,182","±834","5,807","±1,264","18.6%","±4.1","37,850","±1,609","4,232","±1,382","11.2%","±3.5","28,792","±2,291","5,748","±1,481","20.0%","±4.9","42,949","±1,120","1,433","±637","3.3%","±1.5","28,171","±1,094","3,043","±1,534","10.8%","±5.4"
"            35 to 64 years","29,269","±658","4,555","±1,130","15.6%","±3.8","53,937","±748","4,596","±1,483","8.5%","±2.7","42,165","±965","3,931","±1,369","9.3%","±3.2","257,144","±1,003","29,291","±4,236","11.4%","±1.7","28,097","±574","2,337","±844","8.3%","±3.0","140,498","±1,425","14,413","±2,463","10.3%","±1.8","181,115","±846","16,523","±2,711","9.1%","±1.5","36,471","±986","5,517","±1,262","15.1%","±3.4","41,186","±1,347","2,353","±918","5.7%","±2.2","79,731","±1,701","7,070","±2,197","8.9%","±2.8","28,603","±912","2,580","±869","9.0%","±3.0","29,526","±833","2,559","±1,071","8.7%","±3.6","134,448","±1,322","7,586","±2,229","5.6%","±1.7","38,662","±765","5,502","±1,593","14.2%","±4.2","335,902","±2,837","43,283","±4,365","12.9%","±1.3","61,122","±915","9,774","±1,986","16.0%","±3.2","82,155","±1,563","5,397","±1,701","6.6%","±2.1","50,994","±899","6,290","±1,551","12.3%","±3.0","109,213","±1,401","4,062","±1,239","3.7%","±1.1","62,999","±1,141","4,662","±1,749","7.4%","±2.8"
"        60 years and over","19,625","±1,071","2,471","±770","12.6%","±3.9","38,423","±1,231","2,355","±765","6.1%","±1.9","27,174","±1,473","2,784","±986","10.2%","±3.6","129,097","±3,179","13,821","±2,537","10.7%","±1.9","21,268","±1,105","2,172","±785","10.2%","±3.7","91,471","±2,362","10,536","±1,819","11.5%","±1.9","108,502","±2,304","11,505","±2,042","10.6%","±1.8","24,171","±981","3,222","±973","13.3%","±4.1","24,587","±1,187","1,245","±674","5.1%","±2.7","32,679","±1,748","2,235","±853","6.8%","±2.6","19,103","±1,191","2,635","±1,215","13.8%","±6.3","16,260","±1,275","1,907","±1,153","11.7%","±7.0","58,446","±2,096","3,033","±963","5.2%","±1.7","27,786","±1,080","2,957","±1,009","10.6%","±3.8","191,047","±3,671","26,670","±3,340","14.0%","±1.7","46,695","±1,279","4,869","±1,134","10.4%","±2.4","46,278","±1,501","3,720","±1,172","8.0%","±2.5","35,060","±1,156","3,597","±969","10.3%","±2.8","51,015","±1,827","1,813","±643","3.6%","±1.2","33,307","±1,529","2,571","±1,124","7.7%","±3.4"
