FILEID|STUSAB|SUMLEVEL|COMPONENT|US|REGION|DIVISION|STATE|COUNTY|COUSUB|PLACE|TRACT|BLKGRP|CONCIT|AIANHH|AIANHHFP|AIHHTLI|AITS|AITSFP|ANRC|CBSA|CSA|METDIV|MACC|MEMI|NECTA|CNECTA|NECTADIV|UA|CDCURR|SLDU|SLDL|ZCTA5|SUBMCD|SDELM|SDSEC|SDUNI|UR|PCI|PUMA5|GEO_ID|NAME|BTTR|BTBG|TL_GEO_ID
ACSSF|US|010|00|1||||||||||||||||||||||||||||||||||||0100000US|United States|||
ACSSF|US|010|01|1|||||||||||||||||||||||||||||||||U|||0100001US|United States -- Urban|||
ACSSF|US|010|43|1|||||||||||||||||||||||||||||||||R|||0100043US|United States -- Rural|||
ACSSF|US|010|89|1||||||||||||||||||||||||||||||||||||0100089US|United States -- American Indian Reservation and Trust Land -- Federal|||
ACSSF|US|010|91|1||||||||||||||||||||||||||||||||||||0100091US|United States -- Oklahoma Tribal Statistical Area|||
ACSSF|US|010|93|1||||||||||||||||||||||||||||||||||||0100093US|United States -- Alaska Native Village Statistical Area|||
ACSSF|US|010|94|1||||||||||||||||||||||||||||||||||||0100094US|United States -- State Designated Tribal Statistical Area|||
ACSSF|US|010|A0|1||||||||||||||||||||||||||||||||||||01000A0US|United States -- In metropolitan or micropolitan statistical area|||
ACSSF|US|010|C0|1||||||||||||||||||||1||||||||||||||||01000C0US|United States -- In metropolitan statistical area|||
ACSSF|US|010|C1|1||||||||||||||||||||1||||||||||||||Y||01000C1US|United States -- In metropolitan statistical area -- in principal city|||
ACSSF|US|010|C2|1||||||||||||||||||||1||||||||||||||||01000C2US|United States -- In metropolitan statistical area -- not in principal city|||
ACSSF|US|010|E0|1||||||||||||||||||||2||||||||||||||||01000E0US|United States -- In micropolitan statistical area|||
ACSSF|US|010|E1|1||||||||||||||||||||2||||||||||||||Y||01000E1US|United States -- In micropolitan statistical area -- in principal city|||
ACSSF|US|010|E2|1||||||||||||||||||||2||||||||||||||||01000E2US|United States -- In micropolitan statistical area -- not in principal city|||
ACSSF|US|010|G0|1||||||||||||||||||||9||||||||||||||||01000G0US|United States -- Not in metropolitan or micropolitan statistical area|||
ACSSF|US|010|H0|1||||||||||||||||||||||||||||||||||||01000H0US|United States -- Not in metropolitan statistical area|||
ACSSF|US|020|00||1|||||||||||||||||||||||||||||||||||0200000US1|Northeast Region|||
ACSSF|US|020|00||2|||||||||||||||||||||||||||||||||||0200000US2|Midwest Region|||
ACSSF|US|020|00||3|||||||||||||||||||||||||||||||||||0200000US3|South Region|||
ACSSF|US|020|00||4|||||||||||||||||||||||||||||||||||0200000US4|West Region|||
ACSSF|US|020|01||1||||||||||||||||||||||||||||||||U|||0200001US1|Northeast Region -- Urban|||
ACSSF|US|020|01||2||||||||||||||||||||||||||||||||U|||0200001US2|Midwest Region -- Urban|||
ACSSF|US|020|01||3||||||||||||||||||||||||||||||||U|||0200001US3|South Region -- Urban|||
ACSSF|US|020|01||4||||||||||||||||||||||||||||||||U|||0200001US4|West Region -- Urban|||
ACSSF|US|020|43||1||||||||||||||||||||||||||||||||R|||0200043US1|Northeast Region -- Rural|||
ACSSF|US|020|43||2||||||||||||||||||||||||||||||||R|||0200043US2|Midwest Region -- Rural|||
ACSSF|US|020|43||3||||||||||||||||||||||||||||||||R|||0200043US3|South Region -- Rural|||
ACSSF|US|020|43||4||||||||||||||||||||||||||||||||R|||0200043US4|West Region -- Rural|||
ACSSF|US|020|A0||1|||||||||||||||||||||||||||||||||||02000A0US1|Northeast Region -- In metropolitan or micropolitan statistical area|||
ACSSF|US|020|A0||2|||||||||||||||||||||||||||||||||||02000A0US2|Midwest Region -- In metropolitan or micropolitan statistical area|||
ACSSF|US|020|A0||3|||||||||||||||||||||||||||||||||||02000A0US3|South Region -- In metropolitan or micropolitan statistical area|||
ACSSF|US|020|A0||4|||||||||||||||||||||||||||||||||||02000A0US4|West Region -- In metropolitan or micropolitan statistical area|||
ACSSF|US|020|C0||1|||||||||||||||||||1||||||||||||||||02000C0US1|Northeast Region -- In metropolitan statistical area|||
ACSSF|US|020|C0||2|||||||||||||||||||1||||||||||||||||02000C0US2|Midwest Region -- In metropolitan statistical area|||
ACSSF|US|020|C0||3|||||||||||||||||||1||||||||||||||||02000C0US3|South Region -- In metropolitan statistical area|||
ACSSF|US|020|C0||4|||||||||||||||||||1||||||||||||||||02000C0US4|West Region -- In metropolitan statistical area|||
ACSSF|US|020|C1||1|||||||||||||||||||1||||||||||||||Y||02000C1US1|Northeast Region -- In metropolitan statistical area -- in principal city|||
ACSSF|US|020|C1||2|||||||||||||||||||1||||||||||||||Y||02000C1US2|Midwest Region -- In metropolitan statistical area -- in principal city|||
ACSSF|US|020|C1||3|||||||||||||||||||1||||||||||||||Y||02000C1US3|South Region -- In metropolitan statistical area -- in principal city|||
ACSSF|US|020|C1||4|||||||||||||||||||1||||||||||||||Y||02000C1US4|West Region -- In metropolitan statistical area -- in principal city|||
ACSSF|US|020|C2||1|||||||||||||||||||1||||||||||||||||02000C2US1|Northeast Region -- In metropolitan statistical area -- not in principal city|||
ACSSF|US|020|C2||2|||||||||||||||||||1||||||||||||||||02000C2US2|Midwest Region -- In metropolitan statistical area -- not in principal city|||
ACSSF|US|020|C2||3|||||||||||||||||||1||||||||||||||||02000C2US3|South Region -- In metropolitan statistical area -- not in principal city|||
ACSSF|US|020|C2||4|||||||||||||||||||1||||||||||||||||02000C2US4|West Region -- In metropolitan statistical area -- not in principal city|||
ACSSF|US|020|E0||1|||||||||||||||||||2||||||||||||||||02000E0US1|Northeast Region -- In micropolitan statistical area|||
ACSSF|US|020|E0||2|||||||||||||||||||2||||||||||||||||02000E0US2|Midwest Region -- In micropolitan statistical area|||
ACSSF|US|020|E0||3|||||||||||||||||||2||||||||||||||||02000E0US3|South Region -- In micropolitan statistical area|||
ACSSF|US|020|E0||4|||||||||||||||||||2||||||||||||||||02000E0US4|West Region -- In micropolitan statistical area|||
ACSSF|US|020|E1||1|||||||||||||||||||2||||||||||||||Y||02000E1US1|Northeast Region -- In micropolitan statistical area -- in principal city|||
ACSSF|US|020|E1||2|||||||||||||||||||2||||||||||||||Y||02000E1US2|Midwest Region -- In micropolitan statistical area -- in principal city|||
ACSSF|US|020|E1||3|||||||||||||||||||2||||||||||||||Y||02000E1US3|South Region -- In micropolitan statistical area -- in principal city|||
ACSSF|US|020|E1||4|||||||||||||||||||2||||||||||||||Y||02000E1US4|West Region -- In micropolitan statistical area -- in principal city|||
ACSSF|US|020|E2||1|||||||||||||||||||2||||||||||||||||02000E2US1|Northeast Region -- In micropolitan statistical area -- not in principal city|||
ACSSF|US|020|E2||2|||||||||||||||||||2||||||||||||||||02000E2US2|Midwest Region -- In micropolitan statistical area -- not in principal city|||
ACSSF|US|020|E2||3|||||||||||||||||||2||||||||||||||||02000E2US3|South Region -- In micropolitan statistical area -- not in principal city|||
ACSSF|US|020|E2||4|||||||||||||||||||2||||||||||||||||02000E2US4|West Region -- In micropolitan statistical area -- not in principal city|||
ACSSF|US|020|G0||1|||||||||||||||||||9||||||||||||||||02000G0US1|Northeast Region -- Not in metropolitan or micropolitan statistical area|||
ACSSF|US|020|G0||2|||||||||||||||||||9||||||||||||||||02000G0US2|Midwest Region -- Not in metropolitan or micropolitan statistical area|||
ACSSF|US|020|G0||3|||||||||||||||||||9||||||||||||||||02000G0US3|South Region -- Not in metropolitan or micropolitan statistical area|||
ACSSF|US|020|G0||4|||||||||||||||||||9||||||||||||||||02000G0US4|West Region -- Not in metropolitan or micropolitan statistical area|||
ACSSF|US|020|H0||1|||||||||||||||||||||||||||||||||||02000H0US1|Northeast Region -- Not in metropolitan statistical area|||
ACSSF|US|020|H0||2|||||||||||||||||||||||||||||||||||02000H0US2|Midwest Region -- Not in metropolitan statistical area|||
ACSSF|US|020|H0||3|||||||||||||||||||||||||||||||||||02000H0US3|South Region -- Not in metropolitan statistical area|||
ACSSF|US|020|H0||4|||||||||||||||||||||||||||||||||||02000H0US4|West Region -- Not in metropolitan statistical area|||
ACSSF|US|030|00|||1||||||||||||||||||||||||||||||||||0300000US1|New England Division|||
ACSSF|US|030|00|||2||||||||||||||||||||||||||||||||||0300000US2|Middle Atlantic Division|||
ACSSF|US|030|00|||3||||||||||||||||||||||||||||||||||0300000US3|East North Central Division|||
ACSSF|US|030|00|||4||||||||||||||||||||||||||||||||||0300000US4|West North Central Division|||
ACSSF|US|030|00|||5||||||||||||||||||||||||||||||||||0300000US5|South Atlantic Division|||
ACSSF|US|030|00|||6||||||||||||||||||||||||||||||||||0300000US6|East South Central Division|||
ACSSF|US|030|00|||7||||||||||||||||||||||||||||||||||0300000US7|West South Central Division|||
ACSSF|US|030|00|||8||||||||||||||||||||||||||||||||||0300000US8|Mountain Division|||
ACSSF|US|030|00|||9||||||||||||||||||||||||||||||||||0300000US9|Pacific Division|||
ACSSF|US|030|01|||1|||||||||||||||||||||||||||||||U|||0300001US1|New England Division -- Urban|||
ACSSF|US|030|01|||2|||||||||||||||||||||||||||||||U|||0300001US2|Middle Atlantic Division -- Urban|||
ACSSF|US|030|01|||3|||||||||||||||||||||||||||||||U|||0300001US3|East North Central Division -- Urban|||
ACSSF|US|030|01|||4|||||||||||||||||||||||||||||||U|||0300001US4|West North Central Division -- Urban|||
ACSSF|US|030|01|||5|||||||||||||||||||||||||||||||U|||0300001US5|South Atlantic Division -- Urban|||
ACSSF|US|030|01|||6|||||||||||||||||||||||||||||||U|||0300001US6|East South Central Division -- Urban|||
ACSSF|US|030|01|||7|||||||||||||||||||||||||||||||U|||0300001US7|West South Central Division -- Urban|||
ACSSF|US|030|01|||8|||||||||||||||||||||||||||||||U|||0300001US8|Mountain Division -- Urban|||
ACSSF|US|030|01|||9|||||||||||||||||||||||||||||||U|||0300001US9|Pacific Division -- Urban|||
ACSSF|US|030|43|||1|||||||||||||||||||||||||||||||R|||0300043US1|New England Division -- Rural|||
ACSSF|US|030|43|||2|||||||||||||||||||||||||||||||R|||0300043US2|Middle Atlantic Division -- Rural|||
ACSSF|US|030|43|||3|||||||||||||||||||||||||||||||R|||0300043US3|East North Central Division -- Rural|||
ACSSF|US|030|43|||4|||||||||||||||||||||||||||||||R|||0300043US4|West North Central Division -- Rural|||
ACSSF|US|030|43|||5|||||||||||||||||||||||||||||||R|||0300043US5|South Atlantic Division -- Rural|||
ACSSF|US|030|43|||6|||||||||||||||||||||||||||||||R|||0300043US6|East South Central Division -- Rural|||
ACSSF|US|030|43|||7|||||||||||||||||||||||||||||||R|||0300043US7|West South Central Division -- Rural|||
ACSSF|US|030|43|||8|||||||||||||||||||||||||||||||R|||0300043US8|Mountain Division -- Rural|||
ACSSF|US|030|43|||9|||||||||||||||||||||||||||||||R|||0300043US9|Pacific Division -- Rural|||
ACSSF|US|030|A0|||1||||||||||||||||||||||||||||||||||03000A0US1|New England Division -- In metropolitan or micropolitan statistical area|||
ACSSF|US|030|A0|||2||||||||||||||||||||||||||||||||||03000A0US2|Middle Atlantic Division -- In metropolitan or micropolitan statistical area|||
ACSSF|US|030|A0|||3||||||||||||||||||||||||||||||||||03000A0US3|East North Central Division -- In metropolitan or micropolitan statistical area|||
ACSSF|US|030|A0|||4||||||||||||||||||||||||||||||||||03000A0US4|West North Central Division -- In metropolitan or micropolitan statistical area|||
ACSSF|US|030|A0|||5||||||||||||||||||||||||||||||||||03000A0US5|South Atlantic Division -- In metropolitan or micropolitan statistical area|||
ACSSF|US|030|A0|||6||||||||||||||||||||||||||||||||||03000A0US6|East South Central Division -- In metropolitan or micropolitan statistical area|||
ACSSF|US|030|A0|||7||||||||||||||||||||||||||||||||||03000A0US7|West South Central Division -- In metropolitan or micropolitan statistical area|||
ACSSF|US|030|A0|||8||||||||||||||||||||||||||||||||||03000A0US8|Mountain Division -- In metropolitan or micropolitan statistical area|||
ACSSF|US|030|A0|||9||||||||||||||||||||||||||||||||||03000A0US9|Pacific Division -- In metropolitan or micropolitan statistical area|||
ACSSF|US|030|C0|||1||||||||||||||||||1||||||||||||||||03000C0US1|New England Division -- In metropolitan statistical area|||
