GEO_ID,NAME,,,B17001H_001E,B17001H_002E,,,
Geography,Geographic Area Name,All Races Pop Small,All Races Pop Large,Estimate!!Total:,Estimate!!Total:!!Income in the past 12 months below poverty level:,Rate,Rank S,Rank L
310M600US32580,"McAllen-Edinburg-Mission, TX Metro Area",871538,#N/A,47248,6101,12.9%,1,
310M600US29460,"Lakeland-Winter Haven, FL Metro Area",739550,#N/A,391436,49925,12.8%,2,
310M600US12540,"Bakersfield, CA Metro Area",887816,#N/A,271978,32771,12.0%,3,
310M600US49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",522003,#N/A,423704,50837,12.0%,4,
310M600US30460,"Lexington-Fayette, KY Metro Area",501306,#N/A,380650,43815,11.5%,5,
310M600US28940,"Knoxville, TN Metro Area",872979,#N/A,737706,82757,11.2%,7,
310M600US45060,"Syracuse, NY Metro Area",626980,#N/A,497117,55315,11.1%,8,
310M600US17900,"Columbia, SC Metro Area",808349,#N/A,438156,48433,11.1%,9,
310M600US46520,"Urban Honolulu, HI Metro Area",967615,#N/A,159654,17331,10.9%,11,
310M600US42540,"Scranton--Wilkes-Barre, PA Metro Area",549824,#N/A,432635,46770,10.8%,12,
310M600US23420,"Fresno, CA Metro Area",996291,#N/A,262022,27974,10.7%,14,
310M600US45780,"Toledo, OH Metro Area",627590,#N/A,463023,49383,10.7%,15,
310M600US24860,"Greenville-Anderson, SC Metro Area",917923,#N/A,650287,69174,10.6%,16,
310M600US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",673516,#N/A,465464,48001,10.3%,19,
310M600US30780,"Little Rock-North Little Rock-Conway, AR Metro Area",735263,#N/A,475073,48782,10.3%,20,
310M600US29620,"Lansing-East Lansing, MI Metro Area",522477,#N/A,400118,40923,10.2%,21,
310M600US19430,"Dayton-Kettering, OH Metro Area",785962,#N/A,583861,59648,10.2%,22,
310M600US44060,"Spokane-Spokane Valley, WA Metro Area",577158,#N/A,471110,48105,10.2%,23,
310M600US24660,"Greensboro-High Point, NC Metro Area",754226,#N/A,420437,42450,10.1%,24,
310M600US37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",610446,#N/A,430547,43307,10.1%,26,
310M600US39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",675137,#N/A,426600,42554,10.0%,27,
310M600US49180,"Winston-Salem, NC Metro Area",667703,#N/A,441091,43321,9.8%,28,
310M600US22180,"Fayetteville, NC Metro Area",503765,#N/A,224438,21770,9.7%,30,
310M600US16860,"Chattanooga, TN-GA Metro Area",552801,#N/A,421570,40703,9.7%,31,
310M600US10420,"Akron, OH Metro Area",682712,#N/A,524400,50327,9.6%,32,
310M600US12940,"Baton Rouge, LA Metro Area",843954,#N/A,463976,44319,9.6%,34,
310M600US33700,"Modesto, CA Metro Area",547099,#N/A,203747,19303,9.5%,37,
310M600US12260,"Augusta-Richmond County, GA-SC Metro Area",597414,#N/A,313969,29660,9.4%,38,
310M600US10740,"Albuquerque, NM Metro Area",910170,#N/A,332186,31312,9.4%,39,
310M600US44140,"Springfield, MA Metro Area",656288,#N/A,442111,41476,9.4%,41,
310M600US34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",503858,#N/A,391761,36716,9.4%,42,
310M600US44700,"Stockton, CA Metro Area",773063,#N/A,213508,19278,9.0%,47,
310M600US27140,"Jackson, MS Metro Area",565674,#N/A,260691,23377,9.0%,49,
310M600US48620,"Wichita, KS Metro Area",636334,#N/A,439292,38595,8.8%,51,
310M600US21340,"El Paso, TX Metro Area",858165,#N/A,91857,8070,8.8%,52,
310M600US22220,"Fayetteville-Springdale-Rogers, AR Metro Area",546753,#N/A,327151,28589,8.7%,53,
310M600US14260,"Boise City, ID Metro Area",786189,#N/A,602558,52184,8.7%,54,
310M600US31540,"Madison, WI Metro Area",667374,#N/A,529615,45790,8.6%,55,
310M600US10580,"Albany-Schenectady-Troy, NY Metro Area",866397,#N/A,668458,56983,8.5%,57,
310M600US15980,"Cape Coral-Fort Myers, FL Metro Area",778395,#N/A,495667,41929,8.5%,58,
310M600US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",843330,#N/A,576052,48038,8.3%,63,
310M600US49340,"Worcester, MA-CT Metro Area",946580,#N/A,686124,54976,8.0%,65,
310M600US36540,"Omaha-Council Bluffs, NE-IA Metro Area",956096,#N/A,704147,53396,7.6%,74,
310M600US17820,"Colorado Springs, CO Metro Area",741783,#N/A,493684,37271,7.5%,75,
310M600US20500,"Durham-Chapel Hill, NC Metro Area",624602,#N/A,336465,25360,7.5%,76,
310M600US16700,"Charleston-North Charleston, SC Metro Area",796259,#N/A,504301,37508,7.4%,77,
310M600US39340,"Provo-Orem, UT Metro Area",681739,#N/A,543972,40355,7.4%,78,
310M600US38860,"Portland-South Portland, ME Metro Area",546342,#N/A,480067,35419,7.4%,79,
310M600US35300,"New Haven-Milford, CT Metro Area",836977,#N/A,490358,35929,7.3%,80,
310M600US35840,"North Port-Sarasota-Bradenton, FL Metro Area",850765,#N/A,636837,46230,7.3%,82,
310M600US29540,"Lancaster, PA Metro Area",540920,#N/A,430348,30289,7.0%,87,
310M600US36260,"Ogden-Clearfield, UT Metro Area",702387,#N/A,553256,38002,6.9%,91,
310M600US37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",825853,#N/A,353726,23471,6.6%,95,
310M600US19780,"Des Moines-West Des Moines, IA Metro Area",705276,#N/A,552723,35014,6.3%,100,
310M600US25420,"Harrisburg-Carlisle, PA Metro Area",577322,#N/A,424154,26510,6.3%,102,
310M600US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area",944513,#N/A,540045,27875,5.2%,108,
310M600US29820,"Las Vegas-Henderson-Paradise, NV Metro Area",2266207,2266207,877335,100263,11.4%,6,1
310M600US35380,"New Orleans-Metairie, LA Metro Area",1244738,1244738,620319,68487,11.0%,10,2
310M600US46140,"Tulsa, OK Metro Area",1009778,1009778,624963,67018,10.7%,13,3
310M600US46060,"Tucson, AZ Metro Area",1024814,1024814,503600,53298,10.6%,17,4
310M600US36420,"Oklahoma City, OK Metro Area",1409039,1409039,865478,90902,10.5%,18,5
310M600US45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",3172135,3172135,1873186,188437,10.1%,25,6
310M600US15380,"Buffalo-Cheektowaga, NY Metro Area",1137177,1137177,856621,83195,9.7%,29,7
310M600US40140,"Riverside-San Bernardino-Ontario, CA Metro Area",4564683,4564683,1284902,123213,9.6%,33,8
310M600US13820,"Birmingham-Hoover, AL Metro Area",1093958,1093958,659002,62901,9.5%,35,9
310M600US18140,"Columbus, OH Metro Area",2097359,2097359,1458734,138330,9.5%,36,10
310M600US33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",6022360,6022360,1680038,158054,9.4%,40,11
310M600US31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",12793087,12793087,3556690,332244,9.3%,43,12
310M600US38300,"Pittsburgh, PA Metro Area",2296130,2296130,1909742,178163,9.3%,44,13
310M600US27260,"Jacksonville, FL Metro Area",1601534,1601534,960061,88857,9.3%,45,14
310M600US19820,"Detroit-Warren-Dearborn, MI Metro Area",4323733,4323733,2772166,255994,9.2%,46,15
310M600US17140,"Cincinnati, OH-KY-IN Metro Area",2211149,2211149,1711353,153615,9.0%,48,16
310M600US31140,"Louisville/Jefferson County, KY-IN Metro Area",1259643,1259643,918652,82133,8.9%,50,17
310M600US40900,"Sacramento-Roseville-Folsom, CA Metro Area",2376914,2376914,1154245,99075,8.6%,56,18
310M600US36740,"Orlando-Kissimmee-Sanford, FL Metro Area",2649560,2649560,1125097,94846,8.4%,59,19
310M600US41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",3201030,3201030,1363481,114832,8.4%,60,20
310M600US38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2479910,2479910,1716034,143907,8.4%,61,21
310M600US40380,"Rochester, NY Metro Area",1046807,1046807,779078,65243,8.4%,62,22
310M600US34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1972833,1972833,1393268,111939,8.0%,64,23
310M600US39300,"Providence-Warwick, RI-MA Metro Area",1618018,1618018,1159308,92879,8.0%,66,24
310M600US17460,"Cleveland-Elyria, OH Metro Area",2034907,2034907,1378939,109854,8.0%,67,25
310M600US26900,"Indianapolis-Carmel-Anderson, IN Metro Area",2087187,2087187,1452475,115072,7.9%,68,26
310M600US35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",19440572,19440572,8497255,669474,7.9%,69,27
310M600US32820,"Memphis, TN-MS-AR Metro Area",1313245,1313245,544890,42224,7.7%,70,28
310M600US26420,"Houston-The Woodlands-Sugar Land, TX Metro Area",7113589,7113589,2364278,183022,7.7%,71,29
310M600US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2661052,2661052,1552011,118927,7.7%,72,30
310M600US38060,"Phoenix-Mesa-Chandler, AZ Metro Area",4864461,4864461,2548387,194472,7.6%,73,
310M600US24340,"Grand Rapids-Kentwood, MI Metro Area",1064046,1064046,812409,59483,7.3%,81,
310M600US41180,"St. Louis, MO-IL Metro Area",2750233,2750233,1943472,140245,7.2%,83,
310M600US28140,"Kansas City, MO-KS Metro Area",2167169,2167169,1519701,108088,7.1%,84,
310M600US12060,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",6049829,6049829,2672628,189662,7.1%,85,
310M600US25540,"Hartford-East Hartford-Middletown, CT Metro Area",1171250,1171250,741950,52371,7.1%,86,
310M600US41700,"San Antonio-New Braunfels, TX Metro Area",2557622,2557622,806119,56177,7.0%,88,
310M600US41620,"Salt Lake City, UT Metro Area",1248798,1248798,863630,60042,7.0%,89,
310M600US42660,"Seattle-Tacoma-Bellevue, WA Metro Area",3950606,3950606,2307270,160157,6.9%,90,
310M600US37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",6081616,6081616,3602523,241941,6.7%,92,
310M600US39580,"Raleigh-Cary, NC Metro Area",1425338,1425338,838249,56133,6.7%,93,
310M600US19100,"Dallas-Fort Worth-Arlington, TX Metro Area",7672444,7672444,3281492,218219,6.6%,94,
310M600US14460,"Boston-Cambridge-Newton, MA-NH Metro Area",4741662,4741662,3151209,209061,6.6%,96,
310M600US12420,"Austin-Round Rock-Georgetown, TX Metro Area",2308452,2308452,1136145,75292,6.6%,97,
310M600US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9355663,9355663,4727005,311700,6.6%,98,
310M600US33340,"Milwaukee-Waukesha, WI Metro Area",1537301,1537301,988049,64313,6.5%,99,
310M600US12580,"Baltimore-Columbia-Towson, MD Metro Area",2770058,2770058,1501183,93873,6.3%,101,
310M600US47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1739311,1739311,924699,55918,6.0%,103,
310M600US40060,"Richmond, VA Metro Area",1289301,1289301,719857,43420,6.0%,104,
310M600US41860,"San Francisco-Oakland-Berkeley, CA Metro Area",4561907,4561907,1648567,98976,6.0%,105,
310M600US33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",3632899,3632899,2639654,153017,5.8%,106,
310M600US19740,"Denver-Aurora-Lakewood, CO Metro Area",2938680,2938680,1802524,103778,5.8%,107,
310M600US41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1922908,1922908,540093,27641,5.1%,109,
310M600US47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6252331,6252331,2670857,122738,4.6%,110,
