"GEO_ID","id"
"NAME","Geographic Area Name"
"C17001I_001E","Estimate!!Total:"
"C17001I_001M","Margin of Error!!Total:"
"C17001I_002E","Estimate!!Total:!!Income in the past 12 months below poverty level:"
"C17001I_002M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:"
"C17001I_003E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"C17001I_003M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"C17001I_004E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 18 years"
"C17001I_004M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 18 years"
"C17001I_005E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 64 years"
"C17001I_005M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 64 years"
"C17001I_006E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 years and over"
"C17001I_006M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 years and over"
"C17001I_007E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:"
"C17001I_007M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:"
"C17001I_008E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 18 years"
"C17001I_008M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 18 years"
"C17001I_009E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 64 years"
"C17001I_009M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!18 to 64 years"
"C17001I_010E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 years and over"
"C17001I_010M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!65 years and over"
"C17001I_011E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:"
"C17001I_011M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:"
"C17001I_012E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:"
"C17001I_012M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:"
"C17001I_013E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 18 years"
"C17001I_013M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Under 18 years"
"C17001I_014E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 64 years"
"C17001I_014M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!18 to 64 years"
"C17001I_015E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 years and over"
"C17001I_015M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!65 years and over"
"C17001I_016E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:"
"C17001I_016M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:"
"C17001I_017E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 18 years"
"C17001I_017M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Under 18 years"
"C17001I_018E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 64 years"
"C17001I_018M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!18 to 64 years"
"C17001I_019E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 years and over"
"C17001I_019M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!65 years and over"
