GEO_ID,Percent WNH
47157000100,62.1
47157000200,0
47157000300,0.4
47157000400,4.2
47157000600,0
47157000700,7.8
47157000800,1.8
47157000900,1.3
47157001100,31.4
47157001200,36.8
47157001300,10.3
47157001400,1.3
47157001500,13.3
47157001600,70
47157001700,49
47157001900,0.3
47157002000,6.5
47157002100,12.5
47157002400,2.9
47157002500,40.5
47157002600,80.3
47157002700,39.9
47157002800,15.9
47157002900,93.5
47157003000,55.6
47157003100,68.5
47157003200,66
47157003300,91
47157003400,64
47157003500,73.1
47157003600,52.9
47157003700,25.7
47157003800,25.3
47157003900,15.2
47157004200,65.7
47157004300,57.8
47157004500,9
47157004600,12.1
47157005000,1.8
47157005300,0.3
47157005500,0
47157005600,0.2
47157005700,2.4
47157005800,2.4
47157005900,0.8
47157006000,3.8
47157006200,6.3
47157006300,65.2
47157006400,4.2
47157006500,3
47157006600,59.9
47157006700,1.5
47157006800,1.3
47157006900,0.4
47157007000,25.7
47157007100,73.7
47157007200,90.8
47157007300,51.8
47157007400,74.6
47157007500,1.5
47157007810,0.6
47157007821,1.2
47157007822,2.6
47157007900,4.3
47157008000,25.9
47157008110,6.7
47157008120,3.5
47157008200,4.6
47157008500,91.3
47157008600,76.2
47157008700,53.4
47157008800,28.1
47157008900,14.6
47157009100,38.8
47157009200,82.4
47157009300,75.7
47157009400,80.1
47157009500,86.3
47157009600,85.4
47157009700,28.7
47157009800,55.5
47157009901,26
47157009902,12.1
47157010000,8.4
47157010110,4.9
47157010120,7
47157010210,4
47157010220,8.6
47157010300,2
47157010500,17
47157010610,6
47157010620,1.3
47157010630,2.9
47157010710,9.9
47157010720,7.5
47157010810,7
47157010820,5.6
47157011010,11.8
47157011020,3.5
47157011100,0.3
47157011200,0.7
47157011300,20.3
47157011400,14.7
47157011500,3.1
47157011600,2.3
47157011700,4.3
47157011800,30.9
47157020101,30.4
47157020102,84.6
47157020210,66.7
47157020221,59.9
47157020222,43.5
47157020300,63.6
47157020400,52.3
47157020511,13.8
47157020512,9.8
47157020521,6.5
47157020523,10.3
47157020524,9.2
47157020531,8.1
47157020532,17.6
47157020541,14
47157020542,4.9
47157020610,23.9
47157020621,29.6
47157020622,79.3
47157020632,72.5
47157020633,91.5
47157020634,87.8
47157020635,89
47157020642,57.6
47157020643,68.3
47157020644,40.1
47157020651,49.4
47157020652,76.9
47157020700,83.7
47157020810,74.2
47157020820,74.7
47157020831,70.5
47157020832,69.2
47157020900,80.6
47157021010,34.2
47157021020,61.5
47157021111,38
47157021112,37.8
47157021113,39.6
47157021121,38.3
47157021122,33
47157021124,34.1
47157021125,55.3
47157021126,40.6
47157021135,34.6
47157021136,47.7
47157021137,53.2
47157021138,40.1
47157021139,57.6
47157021140,60.9
47157021141,41.8
47157021142,59.3
47157021200,18.6
47157021311,85.2
47157021312,87.5
47157021320,72.3
47157021331,61.3
47157021333,37.2
47157021334,22.9
47157021341,86.6
47157021342,49.3
47157021351,72.5
47157021352,93.8
47157021353,87.6
47157021410,93.3
47157021420,88.3
47157021430,89.2
47157021510,22.3
47157021520,50.9
47157021530,84
47157021540,80.1
47157021611,84.6
47157021612,95.3
47157021613,79.8
47157021620,45.4
47157021710,6
47157021721,4.9
47157021724,2.4
47157021725,5.9
47157021726,23.7
47157021731,1.3
47157021732,1.8
47157021741,4.8
47157021744,10.9
47157021745,8.5
47157021746,7
47157021747,4.3
47157021751,6.7
47157021752,3.7
47157021753,5.9
47157021754,9.2
47157021900,0.7
47157022022,1.4
47157022023,3.4
47157022024,4.1
47157022111,2.6
47157022112,0.8
47157022121,4.5
47157022122,2.8
47157022130,1.3
47157022210,0.3
47157022220,1.8
47157022310,0
47157022321,0.6
47157022322,1.4
47157022330,0.7
47157022410,7.5
47157022500,5.4
47157022600,5.3
47157022700,1.1
47157980100,90.8
47157980400,14.1
