"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B17001D_001E","Estimate!!Total:"
"B17001D_001M","Margin of Error!!Total:"
"B17001D_001MA","Annotation of Margin of Error!!Total:"
"B17001D_001EA","Annotation of Estimate!!Total:"
"B17001D_002E","Estimate!!Total:!!Income in the past 12 months below poverty level:"
"B17001D_002M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:"
"B17001D_002MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:"
"B17001D_002EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:"
"B17001D_003E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17001D_003EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17001D_003M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17001D_003MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17001D_004E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years"
"B17001D_004EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years"
"B17001D_004M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years"
"B17001D_004MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years"
"B17001D_005E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years"
"B17001D_005EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years"
"B17001D_005M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years"
"B17001D_005MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years"
"B17001D_006E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years"
"B17001D_006M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years"
"B17001D_006MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years"
"B17001D_006EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years"
"B17001D_007E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years"
"B17001D_007EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years"
"B17001D_007M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years"
"B17001D_007MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years"
"B17001D_008E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years"
"B17001D_008EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years"
"B17001D_008M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years"
"B17001D_008MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years"
"B17001D_009E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years"
"B17001D_009EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years"
"B17001D_009M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years"
"B17001D_009MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years"
"B17001D_010E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years"
"B17001D_010EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years"
"B17001D_010M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years"
"B17001D_010MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years"
"B17001D_011E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years"
"B17001D_011M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years"
