"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B17001H_001E","Estimate!!Total:"
"B17001H_001EA","Annotation of Estimate!!Total:"
"B17001H_001M","Margin of Error!!Total:"
"B17001H_001MA","Annotation of Margin of Error!!Total:"
"B17001H_002E","Estimate!!Total:!!Income in the past 12 months below poverty level:"
"B17001H_002EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:"
"B17001H_002M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:"
"B17001H_002MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:"
"B17001H_003E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17001H_003EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17001H_003M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17001H_003MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17001H_004E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years"
"B17001H_004EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years"
"B17001H_004M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years"
"B17001H_004MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years"
"B17001H_005E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years"
"B17001H_005EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years"
"B17001H_005M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years"
"B17001H_005MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years"
"B17001H_006E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years"
"B17001H_006EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years"
"B17001H_006M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years"
"B17001H_006MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years"
"B17001H_007E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years"
"B17001H_007EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years"
"B17001H_007M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years"
"B17001H_007MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years"
"B17001H_008E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years"
"B17001H_008EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years"
"B17001H_008M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years"
"B17001H_008MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years"
"B17001H_009E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years"
"B17001H_009EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years"
"B17001H_009M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years"
"B17001H_009MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years"
"B17001H_010E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years"
"B17001H_010EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years"
"B17001H_010M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years"
"B17001H_010MA","Annotation of Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years"
"B17001H_011E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years"
"B17001H_011EA","Annotation of Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years"
