"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B17001D_001E","Estimate!!Total:"
"B17001D_001M","Margin of Error!!Total:"
"B17001D_002E","Estimate!!Total:!!Income in the past 12 months below poverty level:"
"B17001D_002M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:"
"B17001D_003E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17001D_003M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17001D_004E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years"
"B17001D_004M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Under 5 years"
"B17001D_005E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years"
"B17001D_005M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!5 years"
"B17001D_006E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years"
"B17001D_006M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!6 to 11 years"
"B17001D_007E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years"
"B17001D_007M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!12 to 14 years"
"B17001D_008E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years"
"B17001D_008M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!15 years"
"B17001D_009E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years"
"B17001D_009M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!16 and 17 years"
"B17001D_010E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years"
"B17001D_010M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!18 to 24 years"
"B17001D_011E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years"
"B17001D_011M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!25 to 34 years"
"B17001D_012E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!35 to 44 years"
"B17001D_012M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!35 to 44 years"
"B17001D_013E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!45 to 54 years"
"B17001D_013M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!45 to 54 years"
"B17001D_014E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!55 to 64 years"
"B17001D_014M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!55 to 64 years"
"B17001D_015E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 to 74 years"
"B17001D_015M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!65 to 74 years"
"B17001D_016E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!75 years and over"
"B17001D_016M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!75 years and over"
"B17001D_017E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:"
"B17001D_017M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:"
"B17001D_018E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 5 years"
"B17001D_018M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Under 5 years"
"B17001D_019E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!5 years"
"B17001D_019M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!5 years"
"B17001D_020E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!6 to 11 years"
"B17001D_020M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!6 to 11 years"
"B17001D_021E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!12 to 14 years"
"B17001D_021M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!12 to 14 years"
"B17001D_022E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!15 years"
